"SampleID","Tissue"
"""GSM2233086""","""liver"""
"""GSM2233087""","""liver"""
"""GSM2233088""","""liver"""
"""GSM2233089""","""liver"""
"""GSM2233090""","""liver"""
"""GSM2233091""","""liver"""
"""GSM2233092""","""liver"""
"""GSM2233093""","""liver"""
"""GSM2233094""","""liver"""
"""GSM2233095""","""liver"""
"""GSM2233096""","""liver"""
"""GSM2233097""","""liver"""
"""GSM2233098""","""liver"""
"""GSM2233099""","""liver"""
"""GSM2233100""","""liver"""
"""GSM2233101""","""liver"""
"""GSM2233102""","""liver"""
"""GSM2233103""","""liver"""
"""GSM2233104""","""liver"""
"""GSM2233105""","""liver"""
"""GSM2233106""","""liver"""
"""GSM2233107""","""liver"""
"""GSM2233108""","""liver"""
"""GSM2233109""","""liver"""
"""GSM2233110""","""liver"""
"""GSM2233111""","""liver"""
"""GSM2233112""","""liver"""
"""GSM2233113""","""liver"""
